Year,Birth,death_year,death_year_new,death_year_add,death_rate,deaths
2018,3791712.0,0,0,0,0.005574623413085938,21137.366490878907
2017,3855500.0,1,1,0,0.00037690670013427736,1453.1637823677063
2016,3945875.0,2,2,0,0.00023219562530517578,916.2149130010605
2015,3978497.0,3,3,0,0.00017871410369873047,711.013525423088
2014,3988076.0,4,4,0,0.00014412253379821779,574.7716180998611
2013,3932181.0,5,5,0,0.00013609033584594728,535.1318328970528
2012,3952841.0,6,6,0,0.00012356203079223632,488.4210613588142
2011,3953590.0,7,7,0,0.00011359611511230469,449.1124647468567
2010,3999386.0,8,8,0,0.00010434925079345703,417.33293273384095
2009,4131019.0,9,9,0,9.669539451599121e-05,399.45051195805553
2008,4132851.5,10,10,0,9.429548263549805e-05,389.70922685334205
2007,4134684.0,11,11,0,0.00010314894676208496,426.4882997940445
2006,4136516.5,12,12,0,0.00013020283699035644,538.5861835574198
2005,4138349.0,13,14,1,0.00024652015686035155,1020.186444622879
2004,4112052.0,14,15,1,0.00032107166290283205,1320.2633735829163
2003,4089950.0,15,16,1,0.00039761432647705076,1626.2227145748138
2002,4021726.0,16,17,1,0.00047916675567626955,1927.077399638901
2001,4025933.0,17,18,1,0.0005639835357666015,2270.5599280994415
2000,4058814.0,18,19,1,0.0006502207946777344,2639.125264529114
1999,3959417.0,19,20,1,0.0007405033111572266,2931.9613987522125
1998,3941553.0,20,21,1,0.0008295818328857422,3269.8407621562956
1997,3882000.0,21,23,2,0.00096325927734375,3739.3725146484376
1996,3899000.0,22,24,2,0.0010056493377685546,3921.0267679595945
1995,3892000.0,23,25,2,0.001041941680908203,4055.2370220947264
1994,3979000.0,24,26,2,0.001079699935913086,4296.126044998169
1993,4039000.0,25,28,3,0.0011683666229248047,4719.032789993286
1992,4084000.0,26,28,2,0.0011683666229248047,4771.6092880249025
1991,4111000.0,27,30,3,0.0012825051879882812,5272.3788278198235
1990,4179000.0,28,31,3,0.0013416348266601563,5606.691940612794
1989,4021000.0,29,32,3,0.0014026873779296874,5640.205946655273
1988,3913000.0,30,33,3,0.0014636341857910157,5727.200569000244
1987,3829000.0,31,34,3,0.0015241035461425782,5835.792478179932
1986,3731000.0,32,35,3,0.0015910446166992188,5936.187464904786
1985,3760561.0,33,36,3,0.0016619718933105468,6249.9466850798035
1984,3669141.0,34,37,3,0.001727757568359375,6339.386132127686
1983,3638933.0,35,39,4,0.0018472628784179687,6722.065847950134
1982,3680537.0,36,40,4,0.0019180708312988282,7059.5306632160955
1981,3646397.5,37,41,4,0.002007906036376953,7321.62355127983
1980,3612258.0,38,42,4,0.0021171873474121095,7647.826933188172
1979,3494398.0,39,43,4,0.0022457794189453123,7847.6471100036615
1978,3333279.0,40,45,5,0.002554122009277344,8513.601256961976
1977,3326632.0,41,46,5,0.0027353665161132814,9099.557784230958
1976,3167788.0,42,47,5,0.0029328976440429685,9290.797962027587
1975,3144198.0,43,49,6,0.0033990786743164064,10687.376369628297
1974,3159958.0,44,50,6,0.0036642529296875,11578.885359189453
1973,3136965.0,45,52,7,0.00431885498046875,13548.096913806152
1972,3258411.0,46,53,7,0.004732815551757813,15421.458254818726
1971,3555970.0,47,54,7,0.005176470947265625,18407.375394348146
1970,3731386.0,48,55,7,0.0056131329345703125,20944.76564819458
1969,3600206.0,49,57,8,0.00648659423828125,23353.075496225585
1968,3501564.0,50,58,8,0.006967735595703125,24397.972123432617
1967,3520959.0,51,59,8,0.007484305419921875,26351.932527022705
1966,3606274.0,52,60,8,0.00803720703125,28984.37074941406
1965,3760358.0,53,61,8,0.008592920532226562,32312.45746672241
1964,4027490.0,54,62,8,0.009124291381835938,36747.99229743042
1963,4098020.0,55,63,8,0.009615889282226562,39406.106596350095
1962,4167362.0,56,64,8,0.010091869506835938,42056.47349174682
1961,4268326.0,57,65,8,0.010585130615234375,45180.78821840088
1960,4257850.0,58,66,8,0.01117866455078125,47597.07685754394
1959,4295000.0,59,67,8,0.011819495849609375,50764.734674072264
1958,4255000.0,60,69,9,0.013318096923828125,56668.50241088867
1957,4308000.0,61,70,9,0.014137998046875,60906.4955859375
1956,4218000.0,62,70,8,0.014137998046875,59634.07576171875
1955,4104000.0,63,72,9,0.015895521240234373,65235.21916992187
1954,4078000.0,64,73,9,0.0172741943359375,70444.16450195313
1953,3965000.0,65,74,9,0.018339661865234374,72716.7592956543
1952,3913000.0,66,76,10,0.02103959716796875,82327.94371826173
1951,3772500.0,67,77,10,0.02268210205078125,85568.22998657226
1950,3632000.0,68,78,10,0.0241773876953125,87812.272109375
1949,3477200.0,69,79,10,0.0257500830078125,89538.18863476563
1948,3322400.0,70,81,11,0.02877921875,95616.07637499999
1947,3167600.0,71,82,11,0.03055080078125,96772.7165546875
1946,3012800.0,72,83,11,0.03217575439453125,96939.11283984374
1945,2858000.0,73,85,12,0.0348653271484375,99645.10499023438
1944,2798200.0,74,87,13,0.0364098974609375,101882.17507519531
1943,2738400.0,75,90,15,0.035199677734375,96390.79750781249
1942,2678600.0,76,88,12,0.036587802734375,98004.08840429688
1941,2618800.0,77,90,13,0.035199677734375,92180.91605078125
1940,2559000.0,78,93,15,0.0286839599609375,73402.25354003906
1939,2522600.0,79,93,14,0.0286839599609375,72358.15739746093
1938,2486200.0,80,95,15,0.02220896484375,55215.928394531256
1937,2449800.0,81,99,18,0.009337750854492188,22875.622043334963
1936,2413400.0,82,102,20,0.001,2413.4
1935,2377000.0,83,99,16,0.009337750854492188,22195.83378112793
1934,2425200.0,84,101,17,0.003,7275.6
1933,2473400.0,85,100,15,0.006,14840.4
1932,2521600.0,86,102,16,0.001,2521.6
1931,2569800.0,87,103,17,0.0001,256.98
