Month in which death occurred,All Deaths involving COVID-19 [1],Deaths from All Causes,Percent of Expected Deaths [2],Deaths involving Pneumonia [3],Deaths involving COVID-19 and Pneumonia [3],All Deaths involving Influenza [4],"Deaths involving Pneumonia, Influenza, or COVID-19 [5]",
一月 2020,6,"264,681",98,"17,909",3,"2,125","20,037",29
二月 2020,25,"244,966",104,"15,740",10,"2,373","18,127",28
三月 2020,"7,175","269,806",107,"22,481","3,345","2,437","28,620",27
四月 2020,"65,553","322,424",138,"46,429","28,399","1,237","84,008",26
五月 2020,"38,330","280,564",121,"29,011","15,928",126,"51,519",25
六月 2020,"18,026","250,456",113,"19,294","7,661",40,"29,694",24
七月 2020,"31,135","279,012",123,"27,122","14,903",50,"43,386",23
八月 2020,"29,913","277,282",123,"27,358","15,116",43,"42,180",22
九月 2020,"19,158","257,190",116,"21,130","9,377",28,"30,934",21
十月 2020,"24,930","273,906",117,"24,327","11,734",69,"37,570",20
十一月 2020,"53,250","302,583",129,"38,298","25,287",103,"66,322",19
十二月 2020,"98,175","367,209",144,"62,913","48,319",156,"112,845",18
一月 2021,"105,531","373,600",139,"69,849","55,408",144,"120,053",17
二月 2021,"48,540","282,513",120,"38,075","26,113",90,"60,559",16
三月 2021,"23,247","271,020",107,"24,611","12,242",67,"35,668",15
四月 2021,"18,775","257,021",110,"21,284","9,860",48,"30,236",14
五月 2021,"14,973","258,310",111,"19,459","8,179",34,"26,277",13
六月 2021,"8,018","245,216",110,"15,619","4,357",36,"19,309",12
七月 2021,"11,212","257,844",114,"18,247","6,253",33,"23,232",11
八月 2021,"48,776","303,949",135,"41,869","29,152",63,"61,527",10
九月 2021,"63,401","312,401",141,"51,041","38,257",84,"76,243",9
十月 2021,"42,537","300,038",128,"38,603","25,364",65,"55,825",8
十一月 2021,"32,276","288,867",123,"31,930","18,360",77,"45,906",7
十二月 2021,"45,493","319,649",125,"41,103","25,830",351,"61,080",6
一月 2022,"82,779","366,793",136,"58,227","42,726",570,"98,740",5
二月 2022,"49,353","288,015",123,"37,913","25,695",261,"61,765",4
三月 2022,"15,215","265,193",105,"19,527","7,060",300,"27,954",3
四月 2022,"5,823","234,857",100,"13,539","2,118",356,"17,579",2
五月 2022,"4,008","140,840",61,"7,677","1,348",192,"10,516",1
