Year,Birth,Rate2
2020,3613647.0,11.0
2019,3747540.0,11.4
2018,3791712.0,11.6
2017,3855500.0,11.8
2016,3945875.0,12.2
2015,3978497.0,12.4
2014,3988076.0,12.5
2013,3932181.0,12.4
2012,3952841.0,12.6
2011,3953590.0,12.7
2010,3999386.0,13.0
2009,4131019.0,13.8
2008,4132851.5,
2007,4134684.0,
2006,4136516.5,
2005,4138349.0,14.0
2004,4112052.0,14.0
2003,4089950.0,14.1
2002,4021726.0,13.9
2001,4025933.0,14.1
2000,4058814.0,14.7
1999,3959417.0,14.5
1998,3941553.0,14.6
1997,3882000.0,14.5
1996,3899000.0,14.7
1995,3892000.0,14.8
1994,3979000.0,15.3
1993,4039000.0,15.7
1992,4084000.0,16.0
1991,4111000.0,16.2
1990,4179000.0,16.7
1989,4021000.0,16.2
1988,3913000.0,15.9
1987,3829000.0,15.7
1986,3731000.0,15.5
1985,3760561.0,15.8
1984,3669141.0,15.5
1983,3638933.0,15.5
1982,3680537.0,15.9
1981,3646397.5,
1980,3612258.0,15.9
1979,3494398.0,15.9
1978,3333279.0,15.3
1977,3326632.0,15.4
1976,3167788.0,14.8
1975,3144198.0,14.8
1974,3159958.0,14.9
1973,3136965.0,14.9
1972,3258411.0,15.6
1971,3555970.0,17.2
1970,3731386.0,18.4
1969,3600206.0,17.8
1968,3501564.0,17.5
1967,3520959.0,17.8
1966,3606274.0,18.4
1965,3760358.0,19.4
1964,4027490.0,21.0
1963,4098020.0,21.7
1962,4167362.0,22.4
1961,4268326.0,23.3
1960,4257850.0,23.7
1959,4295000.0,24.3
1958,4255000.0,24.5
1957,4308000.0,25.3
1956,4218000.0,25.2
1955,4104000.0,25.0
1954,4078000.0,25.3
1953,3965000.0,25.1
1952,3913000.0,25.1
1951,3772500.0,
1950,3632000.0,24.1
1949,3477200.0,
1948,3322400.0,
1947,3167600.0,
1946,3012800.0,
1945,2858000.0,20.4
1944,2798200.0,
1943,2738400.0,
1942,2678600.0,
1941,2618800.0,
1940,2559000.0,19.4
1939,2522600.0,
1938,2486200.0,
1937,2449800.0,
1936,2413400.0,
1935,2377000.0,18.7
1934,2425200.0,
1933,2473400.0,
1932,2521600.0,
1931,2569800.0,
1930,2618000.0,21.3
1929,2676200.0,
1928,2734400.0,
1927,2792600.0,
1926,2850800.0,
1925,2909000.0,25.1
1924,2917200.0,
1923,2925400.0,
1922,2933600.0,
1921,2941800.0,
1920,2950000.0,27.7
1919,2953000.0,
1918,2956000.0,
1917,2959000.0,
